VIN,RO_OPEN_DATE,RO_CLOSE_DATE,MILEAGE,ODOMETER_MEASURE,RO_INVOICE_NUMBER,SERVICE_DESCRIPTION,LABOR_DESCRIPTION,PART_NAME_DESCRIPTION,PART_QUANTITY,MAKE,MODEL,MODEL_YEAR,PLATE,PLATE_STATE,MANAGEMENT_SYSTEM,LOCATION_ID,LOCATION_NAME,ADDRESS,CITY,STATE,POSTAL_CODE,PHONE,URL
1FTFW1E50KFA12345,10/10/2019,10/10/2019,"21,000",KM,184200,"Lube oil and filter, 5W30 synthetic","LUBE OIL AND FILTER, 5W30 SYNTHETIC",OIL FILTER,1,FORD,F-150,2019,CJKT 421,ON,PROTRACTOR,CA-ON-4471,Riverside Auto Service,1247 Hamilton Rd,London,ON,N5W 1A7,5194553120,www.riversideautoservice.ca
1FTFW1E50KFA12345,06/03/2020,06/04/2020,30733,KM,184203,Replace front brake pads and machine rotors,REPLACE FRONT BRAKE PADS AND MACHINE ROT,BRAKE PAD SET,2,FORD,F-150,2019,,,PROTRACTOR,CA-ON-4471,RIVERSIDE AUTO SERVICE,1247 Hamilton Rd,London,ON,N5W 1A7,5194553120,www.riversideautoservice.ca
2T1BURHE4JC021345,07/31/2019,08/02/2019,33255,KM,184206,"Rotate tires, adjust pressures  ","ROTATE TIRES, ADJUST PRESSURES",TIRE,4,TOYOTA,COROLLA,2018,BXRP 887,ON,PROTRACTOR,CA-ON-4471,Riverside Auto Service Ltd,1247 Hamilton Rd,London,ON,N5W 1A7,5194553120,www.riversideautoservice.ca
1HGCV1F3OLA100234,01/07/2021,01/07/2021,"15,796",MI,184209,"Replace battery, clean terminals, test charging system","REPLACE BATTERY, CLEAN TERMINALS, TEST C",BATTERY,1,HONDA,ACCORD,2020,CKLM 302,ON,PROTRACTOR,CA-ON-4471,Riverside Auto Service,1247 Hamilton Rd,London,ON,N5W 1A7,5194553120,www.riversideautoservice.ca
1HGCV1F30LA100234,09/27/2021,09/28/2021,35777,KM,184212,Alternator replacement,ALTERNATOR REPLACEMENT,BATTERY,1,HONDA,ACCORD,2020,CKLM 302,ON,PROTRACTOR,CA-ON-4471,RIVERSIDE AUTO SERVICE,1247 Hamilton Rd,London,ON,N5W 1A7,5194553120,www.riversideautoservice.ca
1HGCV1F30LA100234,02/05/2024,02/07/2024,71240,KM,184215,"A/C performance test, evac and recharge","A/C PERFORMANCE TEST, EVAC AND RECHARGE",CABIN FILTER,1,HONDA,ACCORD,2020,,,PROTRACTOR,CA-ON-4471,Riverside Auto Service Ltd,1247 Hamilton Rd,London,ON,N5W 1A7,5194553120,www.riversideautoservice.ca
3VWC57BU8KM052318,10/11/2021,10/11/2021,"49,698",KM,184218,Replace thermostat and upper rad hose,REPLACE THERMOSTAT AND UPPER RAD HOSE,COOLANT,6,VOLKSWAGEN,JETTA,2019,BTWD 119,ON,PROTRACTOR,CA-ON-4471,Riverside Auto Service,1247 Hamilton Rd,London,ON,N5W 1A7,5194553120,www.riversideautoservice.ca
1G1ZD5ST0LF004821,04/06/2021,04/07/2021,29844,KM,184221,Transmission fluid and filter service  ,TRANSMISSION FLUID AND FILTER SERVICE,ATF,8,CHEVROLET,MALIBU,2020,CMRE 640,ON,PROTRACTOR,CA-ON-4471,RIVERSIDE AUTO SERVICE,1247 Hamilton Rd,London,ON,N5W 1A7,5194553120,www.riversideautoservice.ca
1G1ZD5ST0LF004821,01/09/2024,01/11/2024,64974,KM,184224,Weld exhaust flex pipe,WELD EXHAUST FLEX PIPE,CONVERTER,1,CHEVROLET,MALIBU,2020,CMRE 640,ON,PROTRACTOR,CA-ON-4471,Riverside Auto Service Ltd,1247 Hamilton Rd,London,ON,N5W 1A7,5194553120,www.riversideautoservice.ca
1C4RJFAG8MC61290,03/02/2024,03/02/2024,"55,364",KM,184227,"Replace windshield, recalibrate camera","REPLACE WINDSHIELD, RECALIBRATE CAMERA",WINDSHIELD,1,JEEP,GRAND CHEROKEE,2021,,,PROTRACTOR,CA-ON-4471,Riverside Auto Service,1247 Hamilton Rd,London,ON,N5W 1A7,5194553120,www.riversideautoservice.ca
1C4RJFAG8MC612907,04/02/2025,04/03/2025,42326,MI,184230,Replace driver side mirror glass,REPLACE DRIVER SIDE MIRROR GLASS,WINDSHIELD,1,JEEP,GRAND CHEROKEE,2021,CPNA 275,ON,PROTRACTOR,CA-ON-4471,RIVERSIDE AUTO SERVICE,1247 Hamilton Rd,London,ON,N5W 1A7,5194553120,www.riversideautoservice.ca
KNDEPCAA2M7533104,11/13/2022,11/15/2022,45865,KM,184233,Differential fluid change front and rear,DIFFERENTIAL FLUID CHANGE FRONT AND REAR,BRAKE FLUID,2,KIA,SELTOS,2021,CRTY 018,ON,PROTRACTOR,CA-ON-4471,Riverside Auto Service Ltd,1247 Hamilton Rd,London,ON,N5W 1A7,5194553120,www.riversideautoservice.ca
2HKRW2H86NH512044,01/09/2024,01/09/2024,"48,387",KM,184236,"Replace valve cover gasket, oil leak  ","REPLACE VALVE COVER GASKET, OIL LEAK",SPARK PLUG,4,HONDA,CR-V,2022,CSVB 933,ON,PROTRACTOR,CA-ON-4471,Riverside Auto Service,1247 Hamilton Rd,London,ON,N5W 1A7,5194553120,www.riversideautoservice.ca
2HKRW2H86NH512044,01/18/2025,01/19/2025,61030,KM,184239,"Replace rear brake calipers, seized","REPLACE REAR BRAKE CALIPERS, SEIZED",BRAKE PAD SET,2,HONDA,CR-V,2022,,,PROTRACTOR,CA-ON-4471,RIVERSIDE AUTO SERVICE,1247 Hamilton Rd,London,ON,N5W 1A7,5194553120,www.riversideautoservice.ca
1N4BL4BV4NC108455,03/07/2024,03/09/2024,,KM,184242,"R&R rear brake pads, resurface rotors","R&R REAR BRAKE PADS, RESURFACE ROTORS",BRAKE PAD SET,2,NISSAN,ALTIMA,2022,CTWF 506,ON,PROTRACTOR,CA-ON-4471,Riverside Auto Service Ltd,1247 Hamilton Rd,London,ON,N5W 1A7,5194553120,www.riversideautoservice.ca
WBA5R1C54KA018732,05/14/2020,05/14/2020,"40,899",KM,184245,Four wheel alignment,FOUR WHEEL ALIGNMENT,STRUT ASSY,2,BMW,330I,2019,BUXG 441,ON,PROTRACTOR,CA-ON-4471,Riverside Auto Service,1247 Hamilton Rd,London,ON,N5W 1A7,5194553120,www.riversideautoservice.ca
WBA5R1C54KA018732,05/03/2021,05/04/2021,53431,KM,184248,Replace front struts and mounts,REPLACE FRONT STRUTS AND MOUNTS,STRUT ASSY,2,BMW,330I,2019,BUXG 441,ON,PROTRACTOR,CA-ON-4471,RIVERSIDE AUTO SERVICE,1247 Hamilton Rd,London,ON,N5W 1A7,5194553120,www.riversideautoservice.ca
1FMCU9J94MUA03917,07/01/2023,07/03/2023,0,MI,184251,Replace spark plugs and coil on cyl 3  ,REPLACE SPARK PLUGS AND COIL ON CYL 3,SPARK PLUG,4,FORD,ESCAPE,2021,,,PROTRACTOR,CA-ON-4471,Riverside Auto Service Ltd,1247 Hamilton Rd,London,ON,N5W 1A7,5194553120,www.riversideautoservice.ca
5YJ3E1EA9KF312876,08/12/2020,08/12/2020,"45,321",KM,184254,Replace cabin air filter,REPLACE CABIN AIR FILTER,CABIN FILTER,1,TESLA,MODEL 3,2019,BVYK 720,ON,PROTRACTOR,CA-ON-4471,Riverside Auto Service,1247 Hamilton Rd,London,ON,N5W 1A7,5194553120,www.riversideautoservice.ca
5YJ3E1EA9KF312876,08/27/2021,08/28/2021,58475,KM,184257,Coolant flush and fill,COOLANT FLUSH AND FILL,COOLANT,6,TESLA,MODEL 3,2019,BVYK 720,ON,PROTRACTOR,CA-ON-4471,RIVERSIDE AUTO SERVICE,1247 Hamilton Rd,London,ON,N5W 1A7,5194553120,www.riversideautoservice.ca
5YJ3E1EA9KF312876,10/28/2023,,102335,KM,184260,"Replace front CV axle, driver side","REPLACE FRONT CV AXLE, DRIVER SIDE",ATF,8,TESLA,MODEL 3,2019,BVYK 720,ON,PROTRACTOR,CA-ON-4471,Riverside Auto Service Ltd,1247 Hamilton Rd,London,ON,N5W 1A7,5194553120,www.riversideautoservice.ca
1GCUYDED4LZ204118,12/10/2022,12/10/2022,"75,195",KM,184263,Safety Standards Certificate inspection,SAFETY STANDARDS CERTIFICATE INSPECTION,,,CHEVROLET,SILVERADO,2020,,,PROTRACTOR,CA-ON-4471,Riverside Auto Service,1247 Hamilton Rd,London,ON,N5W 1A7,5194553120,www.riversideautoservice.ca
3FA6P0H76KR118246,05/09/2020,05/10/2020,49743,KM,184266,"Check engine light diagnosis, scan and road test  ","CHECK ENGINE LIGHT DIAGNOSIS, SCAN AND R",,,FORD,FUSION,2019,BWZM 604,ON,PROTRACTOR,CA-ON-4471,RIVERSIDE AUTO SERVICE,1247 Hamilton Rd,London,ON,N5W 1A7,5194553120,www.riversideautoservice.ca
3FA6P0H76KR118246,05/08/2022,05/10/2022,93270,KM,184269,,RECALL 21V-123 AIRBAG INFLATOR REPLACEME,,,FORD,FUSION,2019,BWZM 604,ON,PROTRACTOR,CA-ON-4471,Riverside Auto Service Ltd,1247 Hamilton Rd,London,ON,N5W 1A7,5194553120,www.riversideautoservice.ca
2C4RC1BG3LR251037,10/02/2022,10/02/2022,"50,244",MI,184272,"No start diagnosis, parasitic draw test","NO START DIAGNOSIS, PARASITIC DRAW TEST",BATTERY,1,CHRYSLER,PACIFICA,2020,CDPS 217,ON,PROTRACTOR,CA-ON-4471,Riverside Auto Service,1247 Hamilton Rd,London,ON,N5W 1A7,5194553120,www.riversideautoservice.ca
2C4RC1BG3LR251037,08/01/2023,08/02/2023,96414,KM,184275,Repair puncture RR tire,REPAIR PUNCTURE RR TIRE,TIRE,4,CHRYSLER,PACIFICA,2020,,,PROTRACTOR,CA-ON-4471,RIVERSIDE AUTO SERVICE,1247 Hamilton Rd,London,ON,N5W 1A7,5194553120,www.riversideautoservice.ca
1N4AZ1CP3KC310482,00/00/0000,03/18/2021,68563,KM,184278,"Lube oil and filter, 5W30 synthetic","LUBE OIL AND FILTER, 5W30 SYNTHETIC",OIL FILTER,1,NISSAN,LEAF,2019,BYAN 852,ON,PROTRACTOR,CA-ON-4471,Riverside Auto Service Ltd,1247 Hamilton Rd,London,ON,N5W 1A7,5194553120,www.riversideautoservice.ca
JM3KFBCM5N0512773,05/13/2024,05/13/2024,"71,085",KM,184281,Mount and balance 4 winter tires  ,MOUNT AND BALANCE 4 WINTER TIRES,TIRE,4,MAZDA,CX-5,2022,CUBR 349,ON,PROTRACTOR,CA-ON-4471,Riverside Auto Service,1247 Hamilton Rd,London,ON,N5W 1A7,5194553120,www.riversideautoservice.ca
JM3KFBCM5N0512773,02/19/2025,02/20/2025,86527,KM,184284,"Rotate tires, adjust pressures","ROTATE TIRES, ADJUST PRESSURES",TIRE,4,MAZDA,CX-5,2022,CUBR 349,ON,PROTRACTOR,CA-ON-4471,RIVERSIDE AUTO SERVICE,1247 Hamilton Rd,London,ON,N5W 1A7,5194553120,www.riversideautoservice.ca
5NPE24AF4KH745219,12/12/2020,12/14/2020,73607,KM,184287,"Replace battery, clean terminals, test charging system","REPLACE BATTERY, CLEAN TERMINALS, TEST C",BATTERY,1,HYUNDAI,SONATA,2019,,,PROTRACTOR,CA-ON-4471,Riverside Auto Service Ltd,1247 Hamilton Rd,London,ON,N5W 1A7,5194553120,www.riversideautoservice.ca
5NPE24AF4KH745219,10/04/2023,10/04/2023,"123,065",KM,184290,Timing belt and water pump service,TIMING BELT AND WATER PUMP SERVICE,SPARK PLUG,4,HYUNDAI,SONATA,,BZCP 176,ON,PROTRACTOR,CA-ON-4471,Riverside Auto Service,1247 Hamilton Rd,London,ON,N5W 1A7,5194553120,www.riversideautoservice.ca
2GNAXHEV9L6208934,11/21/2020,11/22/2020,37778,MI,184293,"A/C performance test, evac and recharge","A/C PERFORMANCE TEST, EVAC AND RECHARGE",CABIN FILTER,1,CHEVROLET,EQUINOX,2020,CEDT 908,ON,PROTRACTOR,CA-ON-4471,RIVERSIDE AUTO SERVICE,1247 Hamilton Rd,London,ON,N5W 1A7,5194553120,www.riversideautoservice.ca
WVWAA7AU1MW031756,01/04/2022,01/06/2022,63009,KM,184296,Replace thermostat and upper rad hose  ,REPLACE THERMOSTAT AND UPPER RAD HOSE,COOLANT,6,VOLKSWAGEN,GOLF,2021,CVEU 263,ON,PROTRACTOR,CA-ON-4471,Riverside Auto Service Ltd,1247 Hamilton Rd,London,ON,N5W 1A7,5194553120,www.riversideautoservice.ca
WVWAA7AU1MW031756,08/24/2024,08/24/2024,"112,134",KM,184299,Replace catalytic converter and downstream O2 sensor,REPLACE CATALYTIC CONVERTER AND DOWNSTRE,CONVERTER,1,VOLKSWAGEN,GOLF,2021,,,PROTRACTOR,CA-ON-4471,Riverside Auto Service,1247 Hamilton Rd,London,ON,N5W 1A7,5194553120,www.riversideautoservice.ca
1FA6P8TH2J5142608,01/29/2019,01/30/2019,65220,KM,184302,Weld exhaust flex pipe,WELD EXHAUST FLEX PIPE,CONVERTER,1,FORD,MUSTANG,2018,BFGV 731,ON,PROTRACTOR,CA-ON-4471,RIVERSIDE AUTO SERVICE,1247 Hamilton Rd,London,ON,N5W 1A7,5194553120,www.riversideautoservice.ca
1FA6P8TH2J5142608,01/29/2019,01/30/2019,65220,KM,184302,Weld exhaust flex pipe,WELD EXHAUST FLEX PIPE,CONVERTER,1,FORD,MUSTANG,2018,BFGV 731,ON,PROTRACTOR,CA-ON-4471,RIVERSIDE AUTO SERVICE,1247 Hamilton Rd,London,ON,N5W 1A7,5194553120,www.riversideautoservice.ca
1FA6P8TH2J5142608,10/27/2021,10/29/2021,115278,KM,184305,"Replace windshield, recalibrate camera","REPLACE WINDSHIELD, RECALIBRATE CAMERA",WINDSHIELD,1,FORD,MUSTANG,2018,BFGV 731,ON,PROTRACTOR,CA-ON-4471,Riverside Auto Service Ltd,1247 Hamilton Rd,London,ON,N5W 1A7,5194553120,www.riversideautoservice.ca
4T1B11HK5KU823094,01/07/2021,01/07/2021,"83,695",KM,184308,Brake fluid flush,BRAKE FLUID FLUSH,BRAKE FLUID,2,TOYOTA,CAMRY,,CAHW 590,ON,PROTRACTOR,CA-ON-4471,Riverside Auto Service,1247 Hamilton Rd,London,ON,N5W 1A7,5194553120,www.riversideautoservice.ca
4T1B11HK5KU823094,12/20/2021,12/21/2021,100692,KM,184311,Differential fluid change front and rear  ,DIFFERENTIAL FLUID CHANGE FRONT AND REAR,BRAKE FLUID,2,TOYOTA,CAMRY,2019,,,PROTRACTOR,CA-ON-4471,RIVERSIDE AUTO SERVICE,1247 Hamilton Rd,London,ON,N5W 1A7,5194553120,www.riversideautoservice.ca
KM8J3CAL8LU115427,03/02/2023,03/04/2023,64327,MI,184314,"Replace valve cover gasket, oil leak","REPLACE VALVE COVER GASKET, OIL LEAK",SPARK PLUG,4,HYUNDAI,TUCSON,2020,CFJX 042,ON,PROTRACTOR,CA-ON-4471,Riverside Auto Service Ltd,1247 Hamilton Rd,London,ON,N5W 1A7,5194553120,www.riversideautoservice.ca
1G6AA5RX4N0143865,05/03/2024,05/03/2024,"88,739",KM,184317,Replace front brake pads and machine rotors,REPLACE FRONT BRAKE PADS AND MACHINE ROT,BRAKE PAD SET,2,CADILLAC,ATS,2022,CWKY 617,ON,PROTRACTOR,CA-ON-4471,Riverside Auto Service,1247 Hamilton Rd,London,ON,N5W 1A7,5194553120,www.riversideautoservice.ca
1G6AA5RX4N0143865,05/11/2025,05/12/2025,106358,KM,184320,"R&R rear brake pads, resurface rotors","R&R REAR BRAKE PADS, RESURFACE ROTORS",BRAKE PAD SET,2,CADILLAC,ATS,2022,CWKY 617,ON,PROTRACTOR,CA-ON-4471,RIVERSIDE AUTO SERVICE,1247 Hamilton Rd,London,ON,N5W 1A7,5194553120,www.riversideautoservice.ca
